Numero,Seccion,Ubicacion,Precio,Estado,Cliente,Fecha Venta
NA01,A,FA-C1,Sin precio,Disponible,,
NA10,A,FA-C10,Sin precio,Disponible,,
NA11,A,FA-C11,Sin precio,Disponible,,
NA12,A,FA-C12,Sin precio,Disponible,,
NA13,A,FA-C13,Sin precio,Disponible,,
NA14,A,FA-C14,Sin precio,Disponible,,
NA15,A,FA-C15,Sin precio,Disponible,,
NA16,A,FA-C16,Sin precio,Disponible,,
NA17,A,FA-C17,Sin precio,Disponible,,
NA18,A,FA-C18,Sin precio,Disponible,,
NA19,A,FA-C19,Sin precio,Disponible,,
NA02,A,FA-C2,Sin precio,Disponible,,
NA20,A,FA-C20,Sin precio,Disponible,,
NA21,A,FA-C21,Sin precio,Disponible,,
NA22,A,FA-C22,Sin precio,Disponible,,
NA23,A,FA-C23,Sin precio,Disponible,,
NA24,A,FA-C24,Sin precio,Disponible,,
NA25,A,FA-C25,Sin precio,Disponible,,
NA26,A,FA-C26,Sin precio,Disponible,,
NA27,A,FA-C27,Sin precio,Disponible,,
NA28,A,FA-C28,Sin precio,Disponible,,
NA03,A,FA-C3,Sin precio,Disponible,,
NA04,A,FA-C4,Sin precio,Disponible,,
NA05,A,FA-C5,Sin precio,Disponible,,
NA06,A,FA-C6,Sin precio,Disponible,,
NA07,A,FA-C7,Sin precio,Disponible,,
NA08,A,FA-C8,Sin precio,Disponible,,
NA09,A,FA-C9,Sin precio,Disponible,,
NB01,A,FB-C1,Sin precio,Disponible,,
NB10,A,FB-C10,Sin precio,Disponible,,
NB11,A,FB-C11,Sin precio,Disponible,,
NB12,A,FB-C12,Sin precio,Disponible,,
NB13,A,FB-C13,Sin precio,Disponible,,
NB14,A,FB-C14,Sin precio,Disponible,,
NB15,A,FB-C15,Sin precio,Disponible,,
NB16,A,FB-C16,Sin precio,Disponible,,
NB17,A,FB-C17,Sin precio,Disponible,,
NB18,A,FB-C18,Sin precio,Disponible,,
NB19,A,FB-C19,Sin precio,Disponible,,
NB02,A,FB-C2,Sin precio,Disponible,,
NB20,A,FB-C20,Sin precio,Disponible,,
NB21,A,FB-C21,Sin precio,Disponible,,
NB22,A,FB-C22,Sin precio,Disponible,,
NB23,A,FB-C23,Sin precio,Disponible,,
NB24,A,FB-C24,Sin precio,Disponible,,
NB25,A,FB-C25,Sin precio,Disponible,,
NB26,A,FB-C26,Sin precio,Disponible,,
NB27,A,FB-C27,Sin precio,Disponible,,
NB28,A,FB-C28,Sin precio,Disponible,,
NB03,A,FB-C3,Sin precio,Disponible,,
NB04,A,FB-C4,Sin precio,Disponible,,
NB05,A,FB-C5,Sin precio,Disponible,,
NB06,A,FB-C6,Sin precio,Disponible,,
NB07,A,FB-C7,Sin precio,Disponible,,
NB08,A,FB-C8,Sin precio,Disponible,,
NB09,A,FB-C9,Sin precio,Disponible,,
NC01,A,FC-C1,Sin precio,Disponible,,
NC10,A,FC-C10,Sin precio,Disponible,,
NC11,A,FC-C11,Sin precio,Disponible,,
NC12,A,FC-C12,Sin precio,Disponible,,
NC13,A,FC-C13,Sin precio,Disponible,,
NC14,A,FC-C14,Sin precio,Disponible,,
NC15,A,FC-C15,Sin precio,Disponible,,
NC16,A,FC-C16,Sin precio,Disponible,,
NC17,A,FC-C17,Sin precio,Disponible,,
NC18,A,FC-C18,Sin precio,Disponible,,
NC19,A,FC-C19,Sin precio,Disponible,,
NC02,A,FC-C2,Sin precio,Disponible,,
NC20,A,FC-C20,Sin precio,Disponible,,
NC21,A,FC-C21,Sin precio,Disponible,,
NC22,A,FC-C22,Sin precio,Disponible,,
NC23,A,FC-C23,Sin precio,Disponible,,
NC24,A,FC-C24,Sin precio,Disponible,,
NC25,A,FC-C25,Sin precio,Disponible,,
NC26,A,FC-C26,Sin precio,Disponible,,
NC27,A,FC-C27,Sin precio,Disponible,,
NC28,A,FC-C28,Sin precio,Disponible,,
NC03,A,FC-C3,Sin precio,Disponible,,
NC04,A,FC-C4,Sin precio,Disponible,,
NC05,A,FC-C5,Sin precio,Disponible,,
NC06,A,FC-C6,Sin precio,Disponible,,
NC07,A,FC-C7,Sin precio,Disponible,,
NC08,A,FC-C8,Sin precio,Disponible,,
NC09,A,FC-C9,Sin precio,Disponible,,
ND01,A,FD-C1,Sin precio,Disponible,,
ND10,A,FD-C10,Sin precio,Disponible,,
ND11,A,FD-C11,Sin precio,Disponible,,
ND12,A,FD-C12,Sin precio,Disponible,,
ND13,A,FD-C13,Sin precio,Disponible,,
ND14,A,FD-C14,Sin precio,Disponible,,
ND15,A,FD-C15,Sin precio,Disponible,,
ND16,A,FD-C16,Sin precio,Disponible,,
ND17,A,FD-C17,Sin precio,Disponible,,
ND18,A,FD-C18,Sin precio,Disponible,,
ND19,A,FD-C19,Sin precio,Disponible,,
ND02,A,FD-C2,Sin precio,Disponible,,
ND20,A,FD-C20,Sin precio,Disponible,,
ND21,A,FD-C21,Sin precio,Disponible,,
ND22,A,FD-C22,Sin precio,Disponible,,
ND23,A,FD-C23,Sin precio,Disponible,,
ND24,A,FD-C24,Sin precio,Disponible,,
ND25,A,FD-C25,Sin precio,Disponible,,
ND26,A,FD-C26,Sin precio,Disponible,,
ND27,A,FD-C27,Sin precio,Disponible,,
ND28,A,FD-C28,Sin precio,Disponible,,
ND03,A,FD-C3,Sin precio,Disponible,,
ND04,A,FD-C4,Sin precio,Disponible,,
ND05,A,FD-C5,Sin precio,Disponible,,
ND06,A,FD-C6,Sin precio,Disponible,,
ND07,A,FD-C7,Sin precio,Disponible,,
ND08,A,FD-C8,Sin precio,Disponible,,
ND09,A,FD-C9,Sin precio,Disponible,,
NE01,A,FE-C1,Sin precio,Disponible,,
NE10,A,FE-C10,Sin precio,Disponible,,
NE11,A,FE-C11,Sin precio,Disponible,,
NE12,A,FE-C12,Sin precio,Disponible,,
NE13,A,FE-C13,Sin precio,Disponible,,
NE14,A,FE-C14,Sin precio,Disponible,,
NE15,A,FE-C15,Sin precio,Disponible,,
NE16,A,FE-C16,Sin precio,Disponible,,
NE17,A,FE-C17,Sin precio,Disponible,,
NE18,A,FE-C18,Sin precio,Disponible,,
NE19,A,FE-C19,Sin precio,Disponible,,
NE02,A,FE-C2,Sin precio,Disponible,,
NE20,A,FE-C20,Sin precio,Disponible,,
NE21,A,FE-C21,Sin precio,Disponible,,
NE22,A,FE-C22,Sin precio,Disponible,,
NE23,A,FE-C23,Sin precio,Disponible,,
NE24,A,FE-C24,Sin precio,Disponible,,
NE25,A,FE-C25,Sin precio,Disponible,,
NE26,A,FE-C26,Sin precio,Disponible,,
NE27,A,FE-C27,Sin precio,Disponible,,
NE28,A,FE-C28,Sin precio,Disponible,,
NE03,A,FE-C3,Sin precio,Disponible,,
NE04,A,FE-C4,Sin precio,Disponible,,
NE05,A,FE-C5,Sin precio,Disponible,,
NE06,A,FE-C6,Sin precio,Disponible,,
NE07,A,FE-C7,Sin precio,Disponible,,
NE08,A,FE-C8,Sin precio,Disponible,,
NE09,A,FE-C9,Sin precio,Disponible,,
NF01,A,FF-C1,Sin precio,Disponible,,
NF10,A,FF-C10,Sin precio,Disponible,,
NF11,A,FF-C11,Sin precio,Disponible,,
NF12,A,FF-C12,Sin precio,Disponible,,
NF13,A,FF-C13,Sin precio,Disponible,,
NF14,A,FF-C14,Sin precio,Disponible,,
NF15,A,FF-C15,Sin precio,Disponible,,
NF16,A,FF-C16,Sin precio,Disponible,,
NF17,A,FF-C17,Sin precio,Disponible,,
NF18,A,FF-C18,Sin precio,Disponible,,
NF19,A,FF-C19,Sin precio,Disponible,,
NF02,A,FF-C2,Sin precio,Disponible,,
NF20,A,FF-C20,Sin precio,Disponible,,
NF21,A,FF-C21,Sin precio,Disponible,,
NF22,A,FF-C22,Sin precio,Disponible,,
NF23,A,FF-C23,Sin precio,Disponible,,
NF24,A,FF-C24,Sin precio,Disponible,,
NF25,A,FF-C25,Sin precio,Disponible,,
NF26,A,FF-C26,Sin precio,Disponible,,
NF27,A,FF-C27,Sin precio,Disponible,,
NF28,A,FF-C28,Sin precio,Disponible,,
NF03,A,FF-C3,Sin precio,Disponible,,
NF04,A,FF-C4,Sin precio,Disponible,,
NF05,A,FF-C5,Sin precio,Disponible,,
NF06,A,FF-C6,Sin precio,Disponible,,
NF07,A,FF-C7,Sin precio,Disponible,,
NF08,A,FF-C8,Sin precio,Disponible,,
NF09,A,FF-C9,Sin precio,Disponible,,
NG01,A,FG-C1,Sin precio,Disponible,,
NG10,A,FG-C10,Sin precio,Disponible,,
NG11,A,FG-C11,Sin precio,Disponible,,
NG12,A,FG-C12,Sin precio,Disponible,,
NG13,A,FG-C13,Sin precio,Disponible,,
NG14,A,FG-C14,Sin precio,Disponible,,
NG15,A,FG-C15,Sin precio,Disponible,,
NG16,A,FG-C16,Sin precio,Disponible,,
NG17,A,FG-C17,Sin precio,Disponible,,
NG18,A,FG-C18,Sin precio,Disponible,,
NG19,A,FG-C19,Sin precio,Disponible,,
NG02,A,FG-C2,Sin precio,Disponible,,
NG20,A,FG-C20,Sin precio,Disponible,,
NG21,A,FG-C21,Sin precio,Disponible,,
NG22,A,FG-C22,Sin precio,Disponible,,
NG23,A,FG-C23,Sin precio,Disponible,,
NG24,A,FG-C24,Sin precio,Disponible,,
NG25,A,FG-C25,Sin precio,Disponible,,
NG26,A,FG-C26,Sin precio,Disponible,,
NG27,A,FG-C27,Sin precio,Disponible,,
NG28,A,FG-C28,Sin precio,Disponible,,
NG03,A,FG-C3,Sin precio,Disponible,,
NG04,A,FG-C4,Sin precio,Disponible,,
NG05,A,FG-C5,Sin precio,Disponible,,
NG06,A,FG-C6,Sin precio,Disponible,,
NG07,A,FG-C7,Sin precio,Disponible,,
NG08,A,FG-C8,Sin precio,Disponible,,
NG09,A,FG-C9,Sin precio,Disponible,,
